id_article,Author,Title,Journal,Source,Id,Cat
67,Alex Buchel,Shear viscosity of CFT plasma at finite coupling,Phys. Lett. B<b>665</b> 298 (2008),0804,3161,y
68,Alex Buchel,Resolving disagreement for eta/s in a CFT plasma at finite coupling,Nucl. Phys. B <b>803</b> 166 (2008),0805,2683,y
69,A.Buchel and M.Paulos,Relaxation time of a CFT plasma at finite coupling,Nucl. Phys. B <b>805</b> 59 (2008),0806,0788,y
70,A.Buchel and M.Paulos,Second order hydrodynamics of a CFT plasma from boost invariant expansion,Nucl. Phys.B <b>810</b> 40 (2008),0808,1601,y
71,"A.Buchel, R.C.Myers, M.F.Paulos and A.Sinha",Universal holographic hydrodynamics at finite coupling,Phys.Lett.B<b>669</b> 364 (2008),0808,1837,y
72,"E.I.Buchbinder, A.Buchel and S.E.Vazquez",Sound waves in (2+1) dimensional holographic magnetic fluids,JHEP <b>0812</b> 090 (2008),0810,4094,y
73,E.I.Buchbinder and A.Buchel,The Fate of the Sound and Diffusion in Holographic Magnetic Field,Phys.Rev.D <b>79</b> 046006 (2009),0811,4325,y
74,"A.Buchel, R.C.Myers and  A.Sinha",Beyond eta/s = 1/4pi,JHEP <b>0903</b> 084 (2009),0812,2521,y
75,A.Buchel and C.Pagnutti,Bulk viscosity of N=2* plasma,Nucl. Phys.B <b>816</b> 62 (2009),0812,3623,y
76,E.I.Buchbinder and A.Buchel,Relativistic Conformal Magneto-Hydrodynamics from Holography,Phys.Lett.B<b>678</b> 135 (2009),0902,3170,y
77,Alex Buchel,Hydrodynamics of the cascading plasma,Nucl. Phys. B <b>820</b> 385 (2009),0903,3605,y
78,A.Buchel and C.Pagnutti,Exotic Hairy Black Holes,Nucl. Phys. B <b>824</b> 85 (2010),0904,1716,y
79,"A.Buchel, F.A.Chishtie, M.T.Hanif, S.Homayouni, J.Jia and D.G.C.McKeon",Radiative Corrections in Vector-Tensor Models,Int.J.Mod.Phys. A <b>25</b> (2010) 163,0905,0664,y
80,A.Buchel and R.C.Myers,Causality of Holographic Hydrodynamics,JHEP <b>08</b> 016 (2009),0906,2922,y
81,Alex Buchel,Relaxation time of non-conformal plasma,Phys. Lett. B <b>681</b> 200 (2009),0908,0108,y
82,"A.Buchel, M.P.Heller and R.C.Myers",sQGP as hCFT,Phys. Lett. B <b>680</b> 521 (2009),0908,2802,y
83,"A.Buchel, J.Escobedo, R.C.Myers, M.F.Paulos, A.Sinha and  M.Smolkin",Holographic GB gravity in arbitrary dimensions,JHEP <b>03</b> 111 (2010),0911,4257,y
84,A.Buchel and C.Pagnutti,Transport at criticality,Nucl. Phys. B<b>834</b> 222 (2010),0912,3212,y
85,Alex Buchel,Critical phenomena in N=4 SYM plasma,Nucl. Phys. B<b>841</b> 59 (2010),1005,0819,y
86,A.Buchel and S.Cremonini,Viscosity Bound and Causality in Superfluid Plasma,JHEP <b>1010</b> 026 (2010),1007,2963,y
87,A.Buchel and C.Pagnutti,Critical phenomena in N=2* plasma,Phys.Rev.D <b>83</b> 046004 (2011),1010,3359,y
88,A.Buchel and C.Pagnutti,Correlated stability conjecture revisited,Phys.Lett.B <b>697</b> 168 (2011),1010,5748,y
89,Alex Buchel,Chiral symmetry breaking in cascading gauge theory plasma,Nucl.Phys.B <b>847</b> 297 (2011),1012,2404,y
90,A.Buchel and A.Patrushev,Can the correlated stability conjecture be saved?,JHEP <b>1106</b> 090 (2011),1102,5331,y
91,Alex Buchel,On Eling-Oz formula for the holographic bulk viscosity,JHEP <b>1105</b> 065 (2011),1103,3733,y
92,"A.Buchel, U.Gursoy and E.Kiritsis",Holographic bulk viscosity: GPR vs EO,JHEP <b>1109</b> 095 (2011),1104,2058,y
93,Alex Buchel,Quantum phase transitions in cascading gauge theory,Nucl.Phys.B<b>856</b> 278 (2012),1108,6070,y
94,Alex Buchel,Violation of the holographic bulk viscosity bound,Phys.Rev.D<b>85</b> 066004 (2012),1110,0063,y
95,"A.Buchel, L.Lehner and R.C.Myers",Thermal quenches in N=2* plasmas,JHEP <b>1208</b> 049 (2012),1206,6785,y
96,"A.Buchel, L.Lehner and  S.L.Liebling",Scalar Collapse in AdS,Phys.Rev.D <b>86</b> 123011 (2012),1210,0890,y
97,"I.Bena, A.Buchel and O.J.C.Dias",Horizons cannot save the Landscape,Phys.Rev.D <b>87</b> 063012 (2013),1212,5162,y
98,"A.Buchel, J.G.Russo and K.Zarembo",Rigorous Test of Non-conformal Holography: Wilson Loops in N=2* Theory,JHEP <b>1303</b> (2013) 062,1301,1597,y
99,"A.Buchel, L.Lehner, R.C.Myers and A.v.Niekerk",Quantum quenches of holographic plasmas,JHEP <b>1305</b> (2013) 067,1302,2924,y
100,"A.Buchel, X.O.Camanho and J.D.Edelstein",Cavitation effects on the confinement/deconfinement transition,Phys. Lett. B <b>734</b> 131 (2014),1303,6300,y
101,"A.Buchel,S.L.Liebling and L.Lehner",Boson stars in AdS,Phys.Rev. D<b>87</b> (2013) 123006,1304,4166,y
102,Alex Buchel,Localization and holography in N=2 gauge theories,JHEP <b>1308</b> (2013) 004,1304,5652,y
